Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
838353;265826;WKA-Hauptgetriebe;220;l;Addinol Eco Gear 320 S;2007-08-15;2004-02-27;;l;3604;h;28894;h;192;ppm
1165657;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2009-12-29;2007-02-27;;;;;47613;h;195;ppm
877995;265826;WKA-Hauptgetriebe;220;l;Addinol Eco Gear 320 S;2007-12-17;2007-02-27;10;l;6386;h;31676;h;247;ppm
1250963;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2010-08-02;2007-02-27;;;;;51891;h;272;ppm
1594091;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2012-08-07;2007-02-27;;;;;67290;h;294;ppm
1430627;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2011-09-20;2007-02-27;;;;;60416;h;332;ppm
1314507;266372;WEA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2011-01-06;2008-09-26;;;;;152788;h;52;ppm
1057608;266372;WEA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2009-03-03;2008-09-26;;;;;;;104;ppm
1160834;266372;WEA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2009-12-09;2008-09-25;;;;;143406;h;111;ppm
1240794;266372;WEA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2010-07-05;2008-09-26;;;;;148942;h;146;ppm
1299830;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2010-11-26;;;;;;36937;h;62;ppm
1912269;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2014-03-13;2009-12-08;;;;;72765;h;64;ppm
1209094;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2010-04-21;;;;;;38226;h;123;ppm
1828341;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2013-10-16;2009-12-08;;;;;69233;h;169;ppm
1568951;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2012-06-20;2009-12-08;;;;;57655;h;174;ppm
1643988;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2012-11-13;2009-12-08;;;;;61158;h;182;ppm
1393455;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2011-07-01;2009-12-08;;;;;49146;h;208;ppm
2011713;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2014-09-01;2009-12-11;;;;;76892;h;241;ppm
1745287;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2013-05-15;2009-12-08;;;;;65549;h;252;ppm
1474422;266374;WKA-Hauptgetriebe;42;;Addinol Eco Gear 320 S;2011-12-19;2009-12-08;;;;;52483;h;310;ppm
1306891;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2010-12-10;2008-07-17;;;;;143780;h;60;ppm
1381666;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2011-06-06;2008-06-03;;;;;147990;h;77;ppm
1897237;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2014-01-21;2013-05-13;;;;;172332;h;89;ppm
2005786;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2014-08-25;2008-06-10;;;;;177466;h;103;ppm
2077291;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2014-12-19;;;;;;180234;h;115;ppm
1781125;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2013-07-15;2008-06-10;;;;;167779;h;145;ppm
1223506;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2010-05-27;2008-06-10;;;;;139118;h;152;ppm
1578584;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2012-07-12;2008-06-10;;;;;157487;h;181;ppm
1468014;266451;WEA-Hauptgetriebe;;;Addinol Eco Gear 320 S;2011-12-07;2008-06-10;;;;;152291;h;185;ppm
1691027;266622;WKA-Hauptgetriebe;125;;Addinol Eco Gear 320 S;2013-02-11;2008-09-02;;;;;148661;h;65;ppm
1494377;266622;WKA-Hauptgetriebe;125;;Addinol Eco Gear 320 S;2012-01-31;2008-09-08;;;;;139764;h;87;ppm
1316929;266622;WKA-Hauptgetriebe;125;;Addinol Eco Gear 320 S;2011-01-17;2008-09-02;;;;;130697;h;102;ppm
1606013;266622;WKA-Hauptgetriebe;125;;Addinol Eco Gear 320 S;2012-09-04;2008-09-08;;;;;144888;h;194;ppm
