Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
2045470;638019;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-29;2014-10-09;;;232174;kWh;14614;h;130;ppm
2066075;568663;Wind turbine - main gear;425;l;Mobil Mobilgear XMP 320;2014-11-17;2013-06-28;15;l;29031;kWh;;;131;ppm
2074801;428252;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-12-16;;;;;;;;131;ppm
1986536;477894;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-07-14;2013-07-01;;;30592;kWh;35920000;kWh;132;ppm
1963999;430669;Wind turbine - main gear;350;l;Mobil Mobilgear XMP 320;2014-05-19;;20;l;;;30157;h;132;ppm
1839062;474031;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2013-10-30;2013-05-08;;;;;;;133;ppm
2108797;724352;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-02-13;2013-12-16;20;l;8452000;kWh;9825;h;133;ppm
1991628;487866;Wind turbine - main gear;365;l;Mobil Mobilgear XMP 320;2014-07-16;2014-03-20;20;l;;;27497;h;133;ppm
1999767;405582;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-07;2014-08-06;;;24;h;46478.92;h;133;ppm
1999770;534214;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2014-08-07;;;24;h;28128.24;h;133;ppm
1999773;534221;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-08-09;2014-08-08;;;24;h;28380.3;h;133;ppm
2062729;431441;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-11-20;2014-09-26;;;1064;h;33390;h;133;ppm
1855473;724591;Wind turbine - main gear;;;Mobil Mobilgear XMP 320;2013-11-25;2009-01-01;;;;h;;;134;ppm
2024359;229174;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-05-05;2013-11-25;;;;;;;134;ppm
2063406;428227;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-11-22;2014-06-12;;l;3238;h;38640;h;134;ppm
